HOUSEID,WTHHFIN,NUMADLT,HOMEOWN,HOMETYPE,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CNTTDHH,CDIVMSAR,HHFAMINC_IMP,HHSIZE,HHVEHCNT,HHRELATD,LIF_CYC,MSASIZE,URBANSIZE,URBRUR,PPT517,YOUNGCHILD,RESP_CNT,URBRUR_2010,WRKCOUNT
0,18376.94236,1,2,4,2,3,2,2,1,12,33,3,3,1,1,5,1,6,2,2,0,3,2,1
0,7014.357027,2,1,1,2,3,2,2,2,8,34,5,4,3,1,4,6,6,2,0,2,2,2,2
0,11391.30307,1,1,1,2,3,2,2,1,2,33,3,1,1,2,1,1,6,2,0,0,1,2,0
0,3520.369535,2,2,1,2,3,2,2,1,0,33,6,2,3,1,10,1,6,2,0,0,2,2,0
0,15960.62714,2,1,1,2,3,2,2,2,4,33,9,3,2,1,6,1,6,1,1,0,3,2,2
0,19255.1718,1,3,1,2,3,2,2,1,0,33,3,1,1,2,1,1,6,1,0,0,1,1,1
0,28808.2313,2,1,1,2,3,2,2,2,9,33,7,3,3,1,6,1,6,2,1,0,3,2,1
0,19491.63163,2,2,1,2,3,2,2,2,0,34,9,2,2,1,2,6,6,2,0,0,2,2,2
0,4424.241533,1,2,1,2,3,2,2,1,0,33,2,1,1,2,9,1,6,2,0,0,1,2,0
0,6467.351047,2,2,1,2,3,2,2,2,7,33,7,2,3,1,2,1,6,1,0,0,2,1,2
0,5819.830279,2,1,1,2,3,2,2,2,2,33,8,2,2,1,2,1,6,2,0,0,2,2,2
0,11002.16755,2,1,1,2,3,2,2,2,6,33,7,4,2,1,6,1,6,1,2,0,4,1,2
0,29898.52872,1,2,1,2,3,2,2,1,0,33,2,1,0,2,1,1,6,1,0,0,1,1,1
0,37840.54212,2,1,1,2,3,2,2,2,6,33,7,3,3,1,4,1,6,2,0,1,2,2,2
0,2619.403256,2,1,1,2,3,2,2,2,4,33,9,4,2,1,4,1,6,2,1,1,3,2,2
0,3155.853832,1,3,1,2,3,2,2,1,2,33,3,1,1,2,1,1,6,2,0,0,1,2,0
0,3414.253053,2,2,1,2,3,2,2,2,2,33,4,2,1,1,10,1,6,1,0,0,2,1,0
0,12176.35018,1,2,1,2,3,2,2,1,0,33,3,1,1,2,9,1,6,2,0,0,1,2,0
0,13705.83191,4,4,1,2,3,2,2,2,0,34,4,4,0,1,2,6,6,1,0,0,4,1,2
0,11785.78745,2,1,1,2,3,2,2,1,0,34,3,2,2,1,10,6,6,2,0,0,2,1,0
0,2390.678371,2,2,1,2,3,2,2,2,2,33,5,2,2,1,2,1,6,2,0,0,2,2,2
0,17483.55405,2,1,1,2,3,2,2,2,1,33,5,3,2,1,4,1,6,1,0,1,2,1,2
0,4718.62996,2,1,1,2,3,2,2,2,4,34,7,3,3,1,4,6,6,2,0,1,2,2,2
0,9145.354169,2,2,1,2,3,2,2,2,2,33,2,2,11,1,10,1,6,1,0,0,2,1,1
0,8013.185822,2,1,1,2,3,2,2,2,8,34,6,2,3,1,10,6,6,2,0,0,2,2,0
0,7477.417631,1,1,1,2,3,2,2,1,2,34,6,1,1,2,1,6,6,2,0,0,1,2,1
0,4280.402749,1,2,1,2,3,2,2,2,8,33,5,3,5,1,5,1,6,1,2,0,3,1,1
0,10992.10147,2,2,1,2,3,2,2,2,4,33,5,2,1,1,2,1,6,2,0,0,2,1,1
0,10496.4117,1,1,1,2,4,2,2,1,7,43,6,2,1,1,5,1,1,1,1,0,2,1,1
0,11177.26483,1,3,3,2,4,2,2,1,4,42,4,1,1,2,1,5,5,1,0,0,1,1,1
0,29710.51858,1,2,1,2,4,2,2,1,0,42,5,1,2,2,9,4,5,1,0,0,1,2,0
0,10093.588,2,2,2,2,4,2,2,1,2,43,4,2,1,1,2,3,3,1,0,0,2,1,2
0,5367.041772,1,2,1,2,4,2,2,1,4,43,8,1,1,2,9,1,1,1,0,0,1,1,0
0,16990.904,1,1,1,2,4,2,2,1,2,42,8,1,0,2,1,4,5,1,0,0,1,1,1
0,4035.865477,2,1,1,2,4,2,2,2,2,42,8,4,5,1,4,4,6,2,2,0,3,2,2
0,5812.480785,2,3,3,2,4,2,2,2,7,42,7,2,2,1,2,4,5,1,0,0,2,1,2
0,13619.33293,2,3,2,2,4,2,2,2,2,43,6,2,2,1,7,1,1,1,0,0,2,1,2
0,7648.823596,1,3,3,2,4,2,2,0,0,43,5,1,0,2,9,2,1,1,0,0,1,1,0
0,4529.024842,1,2,2,2,4,2,2,0,0,42,4,1,0,2,9,5,5,1,0,0,1,1,0
0,7043.695159,2,1,1,2,4,2,2,2,8,42,11,2,2,1,10,5,5,1,0,0,2,1,2
0,12906.05298,1,2,1,2,4,2,2,1,2,42,3,1,1,2,9,5,5,1,0,0,1,1,0
0,5941.721967,2,2,2,2,4,2,2,2,2,43,5,2,2,1,10,1,1,1,0,0,2,1,0
0,30958.59492,2,1,1,2,4,2,2,2,11,43,7,4,2,1,4,2,2,1,1,1,3,1,2
0,34895.78248,2,1,1,2,4,2,2,3,3,43,8,3,4,1,6,1,6,2,1,0,3,2,2
0,52406.3782,1,3,3,2,4,2,2,1,2,43,7,1,1,2,1,1,6,2,0,0,1,2,1
0,6189.301057,1,3,3,2,4,2,2,1,6,43,8,1,1,2,1,2,2,1,0,0,1,1,1
0,7505.772254,2,1,1,2,4,2,2,2,3,42,9,4,2,1,6,4,5,1,2,0,4,1,1
0,48676.76848,2,3,3,2,4,2,2,2,3,43,6,3,2,1,8,3,3,1,1,0,3,1,2
0,4094.402355,2,1,1,2,4,2,2,2,6,43,7,2,2,1,2,1,6,2,0,0,2,2,2
0,6965.380983,1,1,2,2,4,2,2,1,2,42,6,1,1,2,9,5,5,1,0,0,1,1,0
0,3658.461863,1,1,2,2,4,2,2,1,3,42,7,1,1,2,1,5,5,1,0,0,1,1,1
